id,type,name,status,description,epic
1,TASK,Задача 1,NEW,Описание задачи 1
2,TASK,Задача 2,NEW,Описание задачи 2
3,EPIC,Эпик 1,NEW,Описание эпика 1
4,EPIC,Эпик 2,NEW,Описание эпика 2
5,SUBTASK,Подзадача 1,NEW,Описание подзадачи 1,3
6,SUBTASK,Подзадача 2,NEW,Описание подзадачи 2,3
7,SUBTASK,Подзадача 3,NEW,Описание подзадачи 3,3
8,TASK,Задача 3,NEW,Описание задачи 3
9,TASK,Задача 4,NEW,Описание задачи 4
10,EPIC,Эпик 3,NEW,Описание эпика 3
11,EPIC,Эпик 4,NEW,Описание эпика 4
12,SUBTASK,Подзадача 4,NEW,Описание подзадачи 4,3
13,SUBTASK,Подзадача 5,NEW,Описание подзадачи 5,3
14,SUBTASK,Подзадача 6,NEW,Описание подзадачи 6,3

2,1,3,4,5,6,7,12,14,9
